Estado,i,f,e,l,s,w,h,T,R,U,E,F,A,L,S,M,X,+,-,*,/,%,),(,n,t,g,r,a,b,o,u,{,},=,!,>,<,;,&,|,c,d,j,k,m,p,q,v,x,y,z,Î,µ,0,1,2,3,4,5,6,7,8,9
58,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73
59,73,73,73,73,73,73,73,73,73,73,65,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73
60,2,2,2,2,2,2,2,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,2,2,2,66,2,2,2,2,73,73,73,73,73,73,73,73,73,2,2,2,2,2,2,2,2,2,2,2,29,30,73,73,73,73,73,73,73,73,73,73,73
61,2,2,2,2,2,2,2,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,2,2,2,2,2,2,2,2,73,73,73,73,73,73,73,73,73,2,2,2,2,2,2,2,2,2,2,2,29,30,73,73,73,73,73,73,73,73,73,73,73
62,2,2,67,2,2,2,2,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,2,2,2,2,2,2,2,2,73,73,73,73,73,73,73,73,73,2,2,2,2,2,2,2,2,2,2,2,29,30,73,73,73,73,73,73,73,73,73,73,73
63,2,2,68,2,2,2,2,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,2,2,2,2,2,2,2,2,73,73,73,73,73,73,73,73,73,2,2,2,2,2,2,2,2,2,2,2,29,30,73,73,73,73,73,73,73,73,73,73,73
64,2,2,2,2,2,2,2,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,2,2,2,2,2,2,2,2,73,73,73,73,73,73,73,73,73,2,2,2,2,2,2,2,2,2,2,2,29,30,73,73,73,73,73,73,73,73,73,73,73
65,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73
66,2,2,2,2,2,2,2,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,69,2,2,2,2,2,2,2,73,73,73,73,73,73,73,73,73,2,2,2,2,2,2,2,2,2,2,2,29,30,73,73,73,73,73,73,73,73,73,73,73
67,2,2,2,2,2,2,2,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,2,2,2,2,70,2,2,2,73,73,73,73,73,73,73,73,73,2,2,2,2,2,2,2,2,2,2,2,29,30,73,73,73,73,73,73,73,73,73,73,73
68,2,2,2,2,2,2,2,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,2,2,2,71,2,2,2,2,73,73,73,73,73,73,73,73,73,2,2,2,2,2,2,2,2,2,2,2,29,30,73,73,73,73,73,73,73,73,73,73,73
69,2,2,2,2,2,2,2,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,2,2,2,2,2,2,2,2,73,73,73,73,73,73,73,73,73,2,2,2,2,2,2,2,2,2,2,2,29,30,73,73,73,73,73,73,73,73,73,73,73
70,2,2,2,2,2,2,2,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,72,2,2,2,2,2,2,2,73,73,73,73,73,73,73,73,73,2,2,2,2,2,2,2,2,2,2,2,29,30,73,73,73,73,73,73,73,73,73,73,73
71,2,2,2,2,2,2,2,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,2,2,2,2,2,2,2,2,73,73,73,73,73,73,73,73,73,2,2,2,2,2,2,2,2,2,2,2,29,30,73,73,73,73,73,73,73,73,73,73,73
72,2,2,2,2,2,2,2,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,2,2,2,2,2,2,2,2,73,73,73,73,73,73,73,73,73,2,2,2,2,2,2,2,2,2,2,2,29,30,73,73,73,73,73,73,73,73,73,73,73
73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73
